date_obs,date_jd,f_bright,f_spot,f,Bobs
2021-01-10T17:02:23,2459225.21,1.686,0,1.686,8.304
2021-01-10T17:00:57,2459225.209,1.684,0,1.684,8.305
2021-01-07T17:03:50,2459222.211,1.794,0,1.794,8.471
2021-01-07T17:02:23,2459222.21,1.803,0,1.803,8.459
2021-01-07T17:00:57,2459222.209,1.802,0,1.802,8.442
2021-01-09T17:05:16,2459224.212,1.683,0,1.683,8.284
2021-01-09T17:03:50,2459224.211,1.685,0,1.685,8.296
2021-01-09T17:00:57,2459224.209,1.69,0,1.69,8.3
2020-12-21T17:00:57,2459205.209,2.143,0.003,2.146,8.897
2020-12-21T17:03:50,2459205.211,2.147,0.003,2.15,8.883
2020-12-21T17:02:23,2459205.21,2.145,0.003,2.149,8.883
2020-12-21T17:05:16,2459205.212,2.143,0.003,2.146,8.91
2020-12-26T17:02:23,2459210.21,2.767,0.019,2.786,10.154
2020-12-26T17:05:16,2459210.212,2.767,0.019,2.786,10.115
2020-12-26T17:03:50,2459210.211,2.763,0.019,2.782,10.122
2020-12-26T17:00:57,2459210.209,2.765,0.019,2.784,10.094
2020-12-19T17:03:50,2459203.211,2.261,0,2.261,9.146
2020-12-19T17:00:57,2459203.209,2.255,0,2.255,9.136
2020-12-19T17:02:23,2459203.21,2.263,0,2.263,9.121
2020-12-19T17:05:16,2459203.212,2.271,0,2.271,9.153
2020-12-11T17:00:57,2459195.209,1.958,0,1.958,8.679
2020-12-11T17:02:23,2459195.21,1.998,0,1.998,9.046
2020-12-11T16:59:31,2459195.208,1.967,0,1.967,8.787
2020-12-20T17:02:23,2459204.21,2.124,0,2.124,8.971
2020-12-20T17:00:57,2459204.209,2.13,0,2.13,8.941
2020-12-20T17:03:50,2459204.211,2.126,0,2.126,8.915
2020-12-13T17:00:57,2459197.209,1.887,0,1.887,8.55
2020-12-13T17:02:23,2459197.21,1.888,0,1.888,8.543
2020-12-13T16:59:31,2459197.208,1.883,0,1.883,8.505
2021-01-15T17:02:23,2459230.21,1.914,0.001,1.915,8.621
2021-01-15T17:05:16,2459230.212,1.919,0.001,1.919,8.635
2021-01-15T17:00:57,2459230.209,1.915,0.001,1.916,8.638
2021-01-15T17:03:50,2459230.211,1.911,0.001,1.912,8.627
2020-12-19T17:00:57,2459203.209,2.255,0,2.255,9.136
2020-12-19T17:02:23,2459203.21,2.263,0,2.263,9.121
2020-12-19T17:05:16,2459203.212,2.271,0,2.271,9.153
2020-12-11T17:00:57,2459195.209,1.958,0,1.958,8.679
