date_obs,f_bright,f_spot,f,Bobs,,,,,
2459347,2.186,0.006,2.192,9.015,,,,,
2459348,2.182,0.005,2.187,8.995,,,,,
2459349,2.155,0.003,2.158,8.901,,,,,
2459350,2.134,0.002,2.136,8.81,,,,,
2459351,2.074,0.002,2.076,8.705,,,,,
2459352,2.044,0.001,2.045,8.579,,,,,
2459353,2.002,0.001,2.003,8.566,,,,,
2459354,2.087,0.004,2.091,8.686,,,,,
2459355,2.205,0.005,2.21,8.812,,,,,
2459356,2.294,0.007,2.301,9.088,,,,,
2459356,2.294,0.007,2.301,9.088,,,,,
2459359,2.345,0.007,2.352,9.464,,,,,
2459360,2.332,0.006,2.338,9.325,,,,,
2459361,2.399,0.013,2.412,9.453,,,,,
2459362,2.201,0.009,2.21,9.048,,,,,
2459362,2.201,0.009,2.21,9.048,,,,,
2459364,1.737,0,1.737,8.261,,,,,
2459365,1.778,0.001,1.779,8.343,,,,,
2459366,1.869,0.002,1.872,8.541,,,,,
2459367,1.94,0.004,1.944,8.675,,,,,
2459368,2.02,0.005,2.025,8.79,,,,,
2459369,2.156,0.005,2.16,9.015,,,,,
2459370,2.19,0.006,2.195,9.078,,,,,
2459371,2.224,0.004,2.228,9.036,,,,,
2459372,2.255,0.002,2.257,9.044,,,,,
2459373,2.257,0.004,2.261,9.138,,,,,
2459374,2.204,0.002,2.206,9.042,,,,,
2459375,2.166,0.001,2.167,8.93,,,,,
2459376,2.141,0,2.141,8.835,,,,,
2459377,2.156,0,2.156,8.782,,,,,
2459378,2.049,0,2.049,8.667,,,,,
2459379,2.087,0,2.087,8.708,,,,,
2459380,2.197,0.003,2.2,8.819,,,,,
2459381,2.287,0.005,2.292,8.977,,,,,
2459382,2.372,0.006,2.377,9.18,,,,,
2459383,2.529,0.007,2.536,9.455,,,,,
2459384,2.518,0.007,2.525,9.389,,,,,
2459385,2.449,0.007,2.457,9.319,,,,,
2459386,2.403,0.008,2.41,9.277,,,,,
2459387,2.277,0.006,2.283,9.03,,,,,
2459389,1.941,0.003,1.944,8.553,,,,,
2459390,1.943,0.002,1.945,8.544,,,,,
2459391,2.131,0,2.131,8.767,,,,,
2459392,2.416,0.003,2.419,9.194,,,,,
2459393,2.66,0.007,2.667,9.696,,,,,
2459394,2.901,0.011,2.912,10.185,,,,,
2459395,3.103,0.018,3.122,10.743,,,,,
2459396,3.221,0.026,3.247,11.034,,,,,
2459397,3.272,0.023,3.295,11.109,,,,,
2459400,2.709,0.011,2.721,9.941,,,,,
2459401,2.464,0.007,2.471,9.454,,,,,
2459402,2.231,0.001,2.232,9.03,,,,,
2459403,2.156,0,2.156,8.872,,,,,
