date_obs,date_jd,rv_sun,rv_error,rv_error,rv_sun,rv_error
2021-2-9T12:00:00.00,2459255,-0.676659259,0.000227778,0.227778,-676.659259,0.227778
2021-3-1T12:00:00.00,2459275,-0.639488889,0.000311111,0.311111,-639.488889,0.311111
2021-3-10T12:00:00.00,2459284,-0.640001852,0.0002,0.2,-640.001852,0.2
2021-3-11T12:00:00.00,2459285,-0.640358065,0.0002,0.2,-640.358065,0.2
2021-3-12T12:00:00.00,2459286,-0.633847273,0.001758182,1.758182,-633.847273,1.758182
2021-3-13T12:00:00.00,2459287,-0.644750909,0.007509091,7.509091,-644.750909,7.509091
2021-3-14T12:00:00.00,2459288,-0.640011111,0.00132963,1.32963,-640.011111,1.32963
2021-3-15T12:00:00.00,2459289,-0.636916364,0.000294545,0.294545,-636.916364,0.294545
2021-3-17T12:00:00.00,2459291,-0.637229091,0.0002,0.2,-637.229091,0.2
2021-3-19T12:00:00.00,2459293,-0.639148148,0.0002,0.2,-639.148148,0.2
2021-3-2T12:00:00.00,2459276,-0.639916667,0.000448148,0.448148,-639.916667,0.448148
2021-3-20T12:00:00.00,2459294,-0.639748837,0.000265116,0.265116,-639.748837,0.265116
2021-3-21T12:00:00.00,2459295,-0.640323636,0.0002,0.2,-640.323636,0.2
2021-3-22T12:00:00.00,2459296,-0.639648936,0.0002,0.2,-639.648936,0.2
2021-3-23T12:00:00.00,2459297,-0.640132727,0.0002,0.2,-640.132727,0.2
2021-3-24T12:00:00.00,2459298,-0.641874074,0.000383333,0.383333,-641.874074,0.383333
2021-3-25T12:00:00.00,2459299,-0.638880645,0.000245161,0.245161,-638.880645,0.245161
2021-3-26T12:00:00.00,2459300,-0.63927963,0.00025,0.25,-639.27963,0.25
2021-3-27T12:00:00.00,2459301,-0.660945455,0.0002,0.2,-660.945455,0.2
2021-3-28T12:00:00.00,2459302,-0.680805556,0.000274074,0.274074,-680.805556,0.274074
2021-3-29T12:00:00.00,2459303,-0.681821818,0.000263636,0.263636,-681.821818,0.263636
2021-3-3T12:00:00.00,2459277,-0.681235185,0.000207407,0.207407,-681.235185,0.207407
2021-3-30T12:00:00.00,2459304,-0.680364286,0.000209524,0.209524,-680.364286,0.209524
2021-3-4T12:00:00.00,2459278,-0.659318182,0.0002,0.2,-659.318182,0.2
2021-3-5T12:00:00.00,2459279,-0.640505556,0.0002,0.2,-640.505556,0.2
2021-3-6T12:00:00.00,2459280,-0.6413,0.0002,0.2,-641.3,0.2
