date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small
2021-09-14T11:30:00,2459471.979,-22.3,-19.154,0.123,3.145,1.952,0.001,1.953,8.838,0.127,-0.004,1.836,0.117,1.836,0.116,0,7.503,72.18,158.102,0.1,16.404,-0.032,-0.028,-0.001
2021-09-14T11:45:00,2459471.99,-19.878,-16.874,0.119,3.004,1.949,0.001,1.95,8.839,0.123,-0.004,1.827,0.123,1.827,0.122,0,7.505,72.221,154.988,0.056,28.258,-0.035,-0.031,-0.001
2021-09-14T12:00:00,2459472,-19.863,-16.843,0.117,3.021,1.948,0.001,1.949,8.854,0.121,-0.003,1.814,0.135,1.814,0.135,0,7.526,72.01,150.578,0.053,17.813,-0.016,-0.012,0
2021-09-14T12:15:00,2459472.01,-20.429,-17.329,0.112,3.1,1.946,0,1.947,8.878,0.116,-0.003,1.816,0.131,1.816,0.131,0,7.553,71.914,150.623,0.092,15.809,0.004,0.007,0
2021-09-14T12:30:00,2459472.021,-19.851,-16.754,0.117,3.097,1.95,0,1.95,8.871,0.121,-0.003,1.828,0.122,1.828,0.122,0,7.543,71.964,154.337,0.088,24.343,-0.008,-0.004,0date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small
2021-09-15T11:30:00,2459472.9791666665,-19.381,-16.151,0.006,3.23,1.845,0.0,1.845,8.658,0.006,0.0,1.789,0.056,1.789,0.056,0.0,7.459,68.116,116.504,-0.021,52.037,0.11,0.112,-0.0
2021-09-15T11:45:00,2459472.9895833335,-19.872,-16.643,0.009,3.229,1.841,0.0,1.841,8.669,0.009,0.0,1.792,0.049,1.792,0.049,0.0,7.475,68.059,121.736,0.003,44.527,0.09,0.091,-0.001
2021-09-15T12:00:00,2459473.0,-19.833,-16.657,0.012,3.176,1.851,0.0,1.851,8.695,0.012,0.0,1.808,0.043,1.808,0.043,0.0,7.491,68.258,120.562,-0.022,35.436,0.058,0.06,-0.0
2021-09-15T12:15:00,2459473.0104166665,-19.391,-16.212,0.006,3.179,1.846,0.0,1.846,8.695,0.006,0.0,1.801,0.046,1.801,0.046,0.0,7.495,68.206,120.136,-0.01,25.61,0.083,0.085,-0.001
2021-09-15T12:30:00,2459473.0208333335,-19.041,-15.844,0.01,3.197,1.841,0.0,1.841,8.705,0.01,0.0,1.796,0.045,1.796,0.045,0.0,7.504,68.436,120.823,-0.048,29.522,0.074,0.075,0.001
