obs_wvlnth
5110.42
4375.94
4427.32
4461.66
5012.08
5269.54
5397.13
5429.7
5506.78
4571.1
6562.81
5051.64
5371.5
5405.78
5501.47
5227.19
5107.45
5434.53
5432.54
5497.52
5194.95
5895.93
4827.46
5083.34
6013.49
6252.56
5167.33
5150.85
4994.14
6191.57
6393.61
6430.85
4861.33
5420.35
4426.02
5707
5172.69
4602.95
6230.73
5183.61
5250.21
