date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,rv_model
2016-05-09T11:00:00,2457517.958,-31.76,-23.236,0.205,8.524,3.241,0.007,3.247,10.213,0.161,0.044,110.89652
2016-05-09T11:02:00,2457517.96,-31.994,-23.567,0.209,8.427,3.224,0.007,3.23,10.09,0.165,0.044,110.81527
2016-05-09T11:04:00,2457517.961,-32.613,-24.037,0.21,8.576,3.249,0.007,3.255,10.309,0.166,0.044,110.95608
2016-05-09T11:06:00,2457517.963,-32.364,-23.788,0.214,8.576,3.253,0.006,3.259,10.314,0.171,0.044,110.96504
2016-05-09T11:08:00,2457517.964,-32.829,-24.273,0.211,8.557,3.249,0.007,3.255,10.324,0.167,0.044,110.94065
2016-05-09T11:10:00,2457517.965,-32.52,-23.971,0.217,8.55,3.244,0.006,3.251,10.308,0.174,0.043,110.94758
2016-05-09T11:12:00,2457517.967,-31.573,-23.152,0.222,8.421,3.241,0.006,3.247,10.312,0.179,0.043,110.83881
2016-05-09T11:14:00,2457517.968,-32.25,-23.627,0.211,8.623,3.238,0.007,3.244,10.324,0.167,0.043,111.00203
2016-05-09T11:16:00,2457517.969,-30.618,-22.083,0.213,8.535,3.24,0.006,3.246,10.32,0.17,0.043,110.92467
2016-05-09T11:18:00,2457517.971,-30.662,-22.235,0.217,8.427,3.243,0.006,3.25,10.327,0.174,0.043,110.83319
2016-05-09T11:20:00,2457517.972,-30.329,-21.64,0.225,8.689,3.242,0.007,3.249,10.314,0.181,0.044,111.09477
2016-05-09T11:22:00,2457517.974,-29.354,-20.8,0.22,8.554,3.237,0.006,3.243,10.314,0.177,0.043,110.95802
2016-05-09T11:24:00,2457517.975,-29.272,-20.859,0.225,8.413,3.235,0.007,3.241,10.32,0.182,0.043,110.83809
2016-05-09T11:26:00,2457517.976,-29.088,-20.424,0.215,8.664,3.244,0.007,3.25,10.322,0.172,0.044,111.04912
2016-05-09T11:28:00,2457517.978,-28.368,-19.69,0.215,8.679,3.254,0.007,3.26,10.325,0.171,0.043,111.06307
2016-05-09T11:30:00,2457517.979,-27.581,-19.031,0.217,8.55,3.249,0.007,3.255,10.35,0.173,0.044,110.94758
2016-05-09T11:32:00,2457517.981,-27.369,-18.815,0.222,8.553,3.254,0.007,3.261,10.325,0.179,0.043,110.96157
2016-05-09T11:34:00,2457517.982,-25.853,-17.032,0.223,8.821,3.243,0.006,3.25,10.318,0.181,0.042,111.21305
2016-05-09T11:36:00,2457517.983,-26.77,-18.276,0.217,8.494,3.243,0.007,3.25,10.315,0.173,0.043,110.8955
2016-05-09T11:38:00,2457517.985,-26.081,-17.519,0.214,8.562,3.247,0.008,3.256,10.332,0.17,0.044,110.95202
2016-05-09T11:40:00,2457517.986,-26.161,-17.53,0.214,8.631,3.247,0.008,3.255,10.324,0.169,0.045,111.01619
2016-05-09T11:42:00,2457517.988,-25.482,-16.998,0.225,8.484,3.258,0.009,3.267,10.331,0.179,0.046,110.90412
2016-05-09T11:44:00,2457517.989,-24.982,-16.367,0.229,8.614,3.243,0.009,3.251,10.32,0.183,0.046,111.03398
2016-05-09T11:46:00,2457517.99,-25.658,-17.048,0.228,8.61,3.245,0.008,3.254,10.338,0.182,0.046,111.02802
2016-05-09T11:48:00,2457517.992,-24.911,-16.209,0.234,8.702,3.253,0.009,3.262,10.331,0.187,0.047,111.12702
2016-05-09T11:50:00,2457517.993,-25.027,-16.282,0.215,8.744,3.255,0.009,3.264,10.334,0.167,0.048,111.12352
2016-05-09T11:52:00,2457517.994,-23.938,-15.352,0.215,8.586,3.252,0.009,3.261,10.329,0.167,0.047,110.97658
2016-05-09T11:54:00,2457517.996,-23.275,-14.536,0.229,8.739,3.26,0.009,3.269,10.343,0.181,0.048,111.15023
2016-05-09T11:56:00,2457517.997,-24.591,-15.994,0.234,8.598,3.26,0.009,3.269,10.342,0.186,0.049,111.0303
2016-05-09T11:58:00,2457517.999,-22.768,-14.099,0.228,8.669,3.268,0.009,3.277,10.341,0.179,0.049,111.08289
2016-05-09T12:00:00,2457518,-22.591,-13.853,0.222,8.738,3.262,0.009,3.271,10.346,0.172,0.05,111.13362
