date_obs,date_jd,v_phot,v_conv,unsigned_flux,rv_model
2019-11-11T11:32:00,2458798.981,0.003,2.882,8.053,105.19698
2019-11-11T11:34:00,2458798.982,0.013,2.912,8.074,105.24728
2019-11-11T11:36:00,2458798.983,0.012,2.927,8.065,105.25899
2019-11-11T11:38:00,2458798.985,0.02,2.889,8.058,105.24157
2019-11-11T11:40:00,2458798.986,0.013,2.907,8.06,105.24263
2019-11-11T11:44:00,2458798.989,0.014,2.933,8.068,105.26905
2019-11-11T11:46:00,2458798.99,0.021,2.921,8.047,105.27357
2019-11-11T11:48:00,2458798.992,0.021,2.984,8.068,105.33216
2019-11-11T11:50:00,2458798.993,0.017,3.01,8.057,105.34738
2019-11-11T11:52:00,2458798.994,0.014,2.889,8.063,105.22813
2019-11-11T11:54:00,2458798.996,0.016,2.891,8.06,105.23447
2019-11-11T11:56:00,2458798.997,0.016,2.903,8.063,105.24563
2019-11-11T11:58:00,2458798.999,0.011,2.857,8.071,105.19165
2019-11-11T12:00:00,2458799,0.011,2.954,8.075,105.28186
2019-11-11T12:02:00,2458799.001,0.013,2.848,8.057,105.18776
2019-11-11T12:04:00,2458799.003,0.015,3.067,8.069,105.39591
2019-11-11T12:06:00,2458799.004,0.009,2.935,8.068,105.25971
2019-11-11T12:08:00,2458799.006,0.011,2.9,8.052,105.23164
2019-11-11T12:10:00,2458799.007,0.015,2.936,8.06,105.27408
2019-11-11T12:12:00,2458799.008,0.01,3.005,8.056,105.32705
2019-11-11T12:14:00,2458799.01,0.003,2.932,8.071,105.24348
2019-11-11T12:16:00,2458799.011,0.01,2.953,8.062,105.27869
2019-11-11T12:18:00,2458799.013,0.01,2.931,8.068,105.25823
2019-11-11T12:20:00,2458799.014,0.014,3.046,8.08,105.37414
2019-11-11T12:22:00,2458799.015,0.016,3.02,8.063,105.35444
2019-11-11T12:24:00,2458799.017,0.019,2.905,8.074,105.25421
