date_obs,date_jd,v_phot,v_conv,unsigned_flux,rv_model
2019-11-11T12:26:00,2458799.018,0.021,2.985,8.076,105.33309
2019-11-11T12:28:00,2458799.019,0.02,2.953,8.064,105.30109
2019-11-11T12:30:00,2458799.021,0.016,2.959,8.074,105.29771
2019-11-11T12:32:00,2458799.022,0.014,3.011,8.067,105.34159
2019-11-11T12:34:00,2458799.024,0.011,2.965,8.076,105.29209
2019-11-11T12:36:00,2458799.025,0.011,3.224,8.088,105.53296
2019-11-11T12:38:00,2458799.026,0.013,2.948,8.098,105.28076
2019-11-11T12:40:00,2458799.028,0.016,3.009,8.12,105.34421
2019-11-11T12:42:00,2458799.029,0.014,2.954,8.101,105.28858
2019-11-11T12:44:00,2458799.031,0.015,2.89,8.107,105.2313
2019-11-11T12:46:00,2458799.032,0.011,2.924,8.105,105.25396
2019-11-11T12:48:00,2458799.033,0.007,2.964,8.117,105.2822
2019-11-11T12:50:00,2458799.035,0.009,2.93,8.113,105.25506
2019-11-11T12:52:00,2458799.036,0.012,2.98,8.145,105.30828
2019-11-11T12:54:00,2458799.038,0.006,3,8.124,105.31344
2019-11-11T12:56:00,2458799.039,0.016,2.996,8.109,105.33212
2019-11-11T12:58:00,2458799.04,0.018,3.064,8.106,105.39984
2019-11-11T13:00:00,2458799.042,0.013,2.876,8.104,105.2138
2019-11-11T13:02:00,2458799.043,0.021,3.101,8.107,105.44097
2019-11-11T13:04:00,2458799.044,0.013,2.932,8.105,105.26588
2019-11-11T13:06:00,2458799.046,0.018,2.974,8.081,105.31614
2019-11-11T13:08:00,2458799.047,0.014,3.032,8.12,105.36112
2019-11-11T13:10:00,2458799.049,0.022,2.863,8.1,105.22187
2019-11-11T13:12:00,2458799.05,0.023,2.957,8.102,105.31153
2019-11-11T13:14:00,2458799.051,0.018,3,8.098,105.34032
2019-11-11T13:16:00,2458799.053,0.022,2.872,8.099,105.23024
2019-11-11T13:18:00,2458799.054,0.023,2.96,8.112,105.31432
2019-11-11T13:20:00,2458799.056,0.024,2.874,8.121,105.23658
2019-11-11T13:22:00,2458799.057,0.03,3.037,8.106,105.40161
2019-11-11T13:24:00,2458799.058,0.027,3.005,8.1,105.36513
2019-11-11T13:26:00,2458799.06,0.023,2.888,8.101,105.24736
2019-11-11T13:28:00,2458799.061,0.029,3.022,8.122,105.38542
2019-11-11T13:30:00,2458799.063,0.025,2.999,8.118,105.35507
2019-11-11T13:32:00,2458799.064,0.027,2.992,8.108,105.35304
2019-11-11T13:34:00,2458799.065,0.03,3.022,8.118,105.38766
2019-11-11T13:36:00,2458799.067,0.028,3.15,8.105,105.50222
2019-11-11T13:38:00,2458799.068,0.033,2.925,8.117,105.30417
2019-11-11T13:40:00,2458799.069,0.037,3.139,8.099,105.51215
2019-11-11T13:42:00,2458799.071,0.032,2.987,8.125,105.35959
2019-11-11T13:44:00,2458799.072,0.035,2.991,8.11,105.37003
2019-11-11T13:46:00,2458799.074,0.037,3.066,8.105,105.44426
2019-11-11T13:48:00,2458799.075,0.038,2.963,8.103,105.35071
2019-11-11T13:50:00,2458799.076,0.041,3.046,8.089,105.43462
2019-11-11T13:52:00,2458799.078,0.037,3.01,8.109,105.39218
2019-11-11T13:54:00,2458799.079,0.034,3.004,8.095,105.37988
2019-11-11T13:56:00,2458799.081,0.043,3.085,8.107,105.47537
2019-11-11T13:58:00,2458799.082,0.042,3.065,8.098,105.45453
2019-11-11T14:00:00,2458799.083,0.045,3.056,8.105,105.45288
2019-11-11T14:02:00,2458799.085,0.042,2.939,8.093,105.33735
2019-11-11T14:04:00,2458799.086,0.044,3.033,8.102,105.42925
2019-11-11T14:06:00,2458799.088,0.041,2.96,8.092,105.35464
2019-11-11T14:08:00,2458799.089,0.042,3.069,8.105,105.45825
2019-11-11T14:10:00,2458799.09,0.043,3.085,8.071,105.47537
2019-11-11T14:12:00,2458799.092,0.049,2.953,8.08,105.36605
2019-11-11T14:14:00,2458799.093,0.051,3.036,8.082,105.44772
2019-11-11T14:16:00,2458799.094,0.055,2.976,8.104,105.40088
2019-11-11T14:18:00,2458799.096,0.049,3.041,8.092,105.44789
2019-11-11T14:20:00,2458799.097,0.048,3.024,8.079,105.42984
2019-11-11T14:22:00,2458799.099,0.054,2.93,8.125,105.35586
2019-11-11T14:24:00,2458799.1,0.05,3.007,8.093,105.41851
2019-11-11T14:26:00,2458799.101,0.046,2.991,8.084,105.39467
2019-11-11T14:28:00,2458799.103,0.05,2.975,8.071,105.38875
2019-11-11T14:30:00,2458799.104,0.049,2.987,8.091,105.39767
2019-11-11T14:32:00,2458799.106,0.053,2.924,8.082,105.34804
2019-11-11T14:34:00,2458799.107,0.052,3.059,8.074,105.47135
2019-11-11T14:36:00,2458799.108,0.054,3.029,8.107,105.44793
2019-11-11T14:38:00,2458799.11,0.053,3.031,8.063,105.44755
2019-11-11T14:40:00,2458799.111,0.058,3.049,8.084,105.47549
2019-11-11T14:42:00,2458799.113,0.053,3.011,8.083,105.42895
2019-11-11T14:44:00,2458799.114,0.051,3.012,8.07,105.4254
2019-11-11T14:46:00,2458799.115,0.06,3.062,8.066,105.49206
2019-11-11T14:48:00,2458799.117,0.052,3.041,8.06,105.45461
2019-11-11T14:50:00,2458799.118,0.055,3.081,8.074,105.49853
2019-11-11T14:52:00,2458799.119,0.06,3.034,8.059,105.46602
2019-11-11T14:54:00,2458799.121,0.059,3.012,8.072,105.44332
2019-11-11T14:56:00,2458799.122,0.057,3.054,8.07,105.4779
2019-11-11T14:58:00,2458799.124,0.052,2.983,8.088,105.40067
2019-11-11T15:00:00,2458799.125,0.055,3.058,8.058,105.47714
2019-11-11T15:02:00,2458799.126,0.05,3.094,8.056,105.49942
2019-11-11T15:04:00,2458799.128,0.05,3.082,8.072,105.48826
2019-11-11T15:06:00,2458799.129,0.043,3.185,8.051,105.56837
2019-11-11T15:08:00,2458799.131,0.048,2.97,8.067,105.37962
2019-11-11T15:10:00,2458799.132,0.044,3.081,8.052,105.47389
2019-11-11T15:12:00,2458799.133,0.043,3.09,8.071,105.48002
2019-11-11T15:14:00,2458799.135,0.044,2.989,8.05,105.38833
2019-11-11T15:16:00,2458799.136,0.04,3.038,8.048,105.42494
2019-11-11T15:18:00,2458799.138,0.034,3.071,8.048,105.44219
2019-11-11T15:20:00,2458799.139,0.029,3.021,8.056,105.38449
2019-11-11T15:22:00,2458799.14,0.02,3.035,8.055,105.37735
2019-11-11T15:24:00,2458799.142,0.01,3.08,8.056,105.3968
2019-11-11T15:26:00,2458799.143,0.011,2.951,8.047,105.27907
2019-11-11T15:28:00,2458799.144,0.001,3.044,8.058,105.34316
2019-11-11T15:30:00,2458799.146,-0.001,3.059,8.061,105.35263
2019-11-11T15:32:00,2458799.147,-0.003,3.031,8.064,105.32211
2019-11-11T15:34:00,2458799.149,-0.012,3.064,8.041,105.33264
2019-11-11T15:36:00,2458799.15,-0.014,2.92,8.051,105.19424
2019-11-11T15:38:00,2458799.151,-0.009,3.115,8.056,105.38679
2019-11-11T15:40:00,2458799.153,-0.008,3.035,8.047,105.31463
2019-11-11T15:42:00,2458799.154,-0.006,3.044,8.026,105.32748
2019-11-11T15:44:00,2458799.156,-0.014,2.997,8.031,105.26585
2019-11-11T15:46:00,2458799.157,-0.02,3.023,8.036,105.27659
2019-11-11T15:48:00,2458799.158,-0.022,2.992,8.027,105.24328
2019-11-11T15:50:00,2458799.16,-0.028,3.067,8.016,105.29959
2019-11-11T15:52:00,2458799.161,-0.025,2.975,8.027,105.22075
2019-11-11T15:54:00,2458799.163,-0.026,3.119,8.027,105.35243
2019-11-11T15:56:00,2458799.164,-0.025,3.011,8.02,105.25423
2019-11-11T15:58:00,2458799.165,-0.024,3.018,8.017,105.26298
2019-11-11T16:00:00,2458799.167,-0.024,3.026,8.019,105.27042
2019-11-11T16:02:00,2458799.168,-0.022,3.065,8.006,105.31117
2019-11-11T16:04:00,2458799.169,-0.021,3.093,8.02,105.33945
2019-11-11T16:06:00,2458799.171,-0.024,3.099,8.02,105.33831
2019-11-11T16:08:00,2458799.172,-0.024,3.066,8.023,105.30762
2019-11-11T16:10:00,2458799.174,-0.025,3.04,8.023,105.2812
2019-11-11T16:12:00,2458799.175,-0.019,2.941,8.011,105.20257
2019-11-11T16:14:00,2458799.176,-0.016,3.069,8.008,105.32833
2019-11-11T16:16:00,2458799.178,-0.018,3.046,8.008,105.30246
2019-11-11T16:18:00,2458799.179,-0.012,2.942,8.014,105.21918
2019-11-11T16:20:00,2458799.181,-0.015,3.078,8.012,105.33894
2019-11-11T16:22:00,2458799.182,-0.014,3.015,8.013,105.28259
2019-11-11T16:24:00,2458799.183,-0.011,2.988,8.012,105.2642
2019-11-11T16:26:00,2458799.185,-0.017,3.093,7.986,105.34841
2019-11-11T16:28:00,2458799.186,-0.018,3.023,8.012,105.28107
2019-11-11T16:30:00,2458799.188,-0.019,3.07,8.003,105.32254
2019-11-11T16:32:00,2458799.189,-0.012,3.076,7.996,105.3438
2019-11-11T16:34:00,2458799.19,-0.008,3.013,7.993,105.29417
2019-11-11T16:36:00,2458799.192,-0.01,3.059,7.981,105.33247
2019-11-11T16:38:00,2458799.193,-0.007,3.171,7.995,105.44335
2019-11-11T16:40:00,2458799.194,-0.011,2.933,8,105.21305
2019-11-11T16:42:00,2458799.196,-0.009,3.054,7.997,105.33006
2019-11-11T16:44:00,2458799.197,-0.005,3.139,7.997,105.41807
2019-11-11T16:46:00,2458799.199,-0.009,3.054,7.982,105.33006
2019-11-11T16:48:00,2458799.2,-0.007,3.061,7.986,105.34105
2019-11-11T16:50:00,2458799.201,-0.002,3.253,7.987,105.53081
2019-11-11T16:52:00,2458799.203,-0.004,3.181,7.988,105.45937
2019-11-11T16:54:00,2458799.204,-0.005,3.164,7.985,105.44132
2019-11-11T16:56:00,2458799.206,-0.001,3.282,7.982,105.56002
2019-11-11T16:58:00,2458799.207,0.001,3.226,7.975,105.51242
2019-11-11T17:00:00,2458799.208,0,3.274,7.996,105.55482
2019-11-11T17:02:00,2458799.21,-0.003,3.262,7.987,105.53694
2019-11-11T17:04:00,2458799.211,-0.002,3.184,7.978,105.46664
2019-11-11T17:06:00,2458799.213,0,3.075,7.969,105.36975
2019-11-11T17:08:00,2458799.214,0.002,3.203,7.965,105.49327
2019-11-11T17:10:00,2458799.215,0.008,3.15,7.964,105.45742
2019-11-11T17:12:00,2458799.217,0.004,3.149,7.956,105.44753
2019-11-11T17:14:00,2458799.218,0.01,3.258,7.966,105.56234
2019-11-11T17:16:00,2458799.219,0.004,3.189,7.945,105.48473
2019-11-11T17:18:00,2458799.221,0.001,3.142,7.959,105.4343
2019-11-11T17:20:00,2458799.222,0.015,3.275,7.965,105.58935
2019-11-11T17:22:00,2458799.224,0.013,3.211,7.957,105.52535
2019-11-11T17:24:00,2458799.225,0.017,3.099,7.962,105.43015
2019-11-11T17:26:00,2458799.226,0.018,3.295,7.952,105.61467
2019-11-11T17:28:00,2458799.228,0.018,3.097,7.948,105.43053
2019-11-11T17:30:00,2458799.229,0.027,3.173,7.983,105.52137
2019-11-11T17:32:00,2458799.231,0.03,3.28,7.945,105.6276
2019-11-11T17:34:00,2458799.232,0.023,3.288,7.947,105.61936
2019-11-11T17:36:00,2458799.233,0.018,3.213,7.948,105.53841
2019-11-11T17:38:00,2458799.235,0.017,3.133,7.939,105.46177
2019-11-11T17:40:00,2458799.236,0.018,3.236,7.958,105.5598
2019-11-11T17:42:00,2458799.238,0.022,3.208,7.939,105.54272
2019-11-11T17:44:00,2458799.239,0.027,3.254,7.941,105.5967
2019-11-11T17:46:00,2458799.24,0.026,3.189,7.946,105.53401
2019-11-11T17:48:00,2458799.242,0.029,3.302,7.933,105.64582
2019-11-11T17:50:00,2458799.243,0.03,3.24,7.936,105.5904
2019-11-11T17:52:00,2458799.244,0.031,3.231,7.936,105.58427
2019-11-11T17:54:00,2458799.246,0.031,3.25,7.953,105.60194
2019-11-11T17:56:00,2458799.247,0.03,3.191,7.938,105.54483
2019-11-11T17:58:00,2458799.249,0.027,3.184,7.921,105.5316
2019-11-11T18:00:00,2458799.25,0.029,3.28,7.938,105.62536
2019-11-11T18:02:00,2458799.251,0.035,3.21,7.914,105.5737
2019-11-11T18:04:00,2458799.253,0.038,3.233,7.921,105.60181
2019-11-11T18:06:00,2458799.254,0.034,3.144,7.922,105.51008
2019-11-11T18:08:00,2458799.256,0.031,3.298,7.918,105.64658
2019-11-11T18:10:00,2458799.257,0.032,3.251,7.92,105.60511
2019-11-11T18:12:00,2458799.258,0.036,3.261,7.871,105.62337
2019-11-11T18:14:00,2458799.26,0.034,3.248,7.891,105.6068
2019-11-11T18:16:00,2458799.261,0.033,3.174,7.877,105.53574
2019-11-11T18:18:00,2458799.263,0.033,3.133,7.867,105.49761
2019-11-11T18:20:00,2458799.264,0.034,3.203,7.868,105.56495
2019-11-11T18:22:00,2458799.265,0.036,3.065,7.875,105.44109
2019-11-11T18:24:00,2458799.267,0.034,3.217,7.873,105.57797
2019-11-11T18:26:00,2458799.268,0.036,3.16,7.871,105.52944
2019-11-11T18:28:00,2458799.269,0.037,3.207,7.875,105.57539
2019-11-11T18:30:00,2458799.271,0.038,3.239,7.874,105.60739
2019-11-11T18:32:00,2458799.272,0.038,3.152,7.89,105.52648
2019-11-11T18:34:00,2458799.274,0.036,3.307,7.869,105.66615
2019-11-11T18:36:00,2458799.275,0.038,3.174,7.868,105.54694
2019-11-11T18:38:00,2458799.276,0.033,3.158,7.863,105.52086
2019-11-11T18:40:00,2458799.278,0.037,3.208,7.871,105.57632
2019-11-11T18:42:00,2458799.279,0.036,3.214,7.879,105.57966
2019-11-11T18:44:00,2458799.281,0.036,3.221,7.862,105.58617
2019-11-11T18:46:00,2458799.282,0.038,3.23,7.91,105.59902
2019-11-11T18:48:00,2458799.283,0.038,3.255,7.868,105.62227
2019-11-11T18:50:00,2458799.285,0.037,3.309,7.876,105.67025
2019-11-11T18:52:00,2458799.286,0.029,3.199,7.872,105.55003
2019-11-11T18:54:00,2458799.288,0.032,3.255,7.86,105.60883
2019-11-11T18:56:00,2458799.289,0.037,3.291,7.873,105.65351
2019-11-11T18:58:00,2458799.29,0.038,3.357,7.863,105.71713
2019-11-11T19:00:00,2458799.292,0.043,3.259,7.861,105.63719
2019-11-11T19:02:00,2458799.293,0.044,3.269,7.861,105.64873
2019-11-11T19:04:00,2458799.294,0.046,3.32,7.88,105.70064
2019-11-11T19:06:00,2458799.296,0.044,3.322,7.867,105.69802
2019-11-11T19:08:00,2458799.297,0.037,3.289,7.859,105.65165
2019-11-11T19:10:00,2458799.299,0.041,3.307,7.863,105.67735
2019-11-11T19:12:00,2458799.3,0.041,3.324,7.87,105.69316
2019-11-11T19:14:00,2458799.301,0.044,3.274,7.868,105.65338
2019-11-11T19:16:00,2458799.303,0.036,3.196,7.843,105.56292
2019-11-11T19:18:00,2458799.304,0.039,3.156,7.86,105.53244
2019-11-11T19:20:00,2458799.306,0.038,3.165,7.853,105.53857
2019-11-11T19:22:00,2458799.307,0.043,3.218,7.855,105.59906
2019-11-11T19:24:00,2458799.308,0.04,3.219,7.858,105.59327
2019-11-11T19:26:00,2458799.31,0.04,3.176,7.857,105.55328
2019-11-11T19:28:00,2458799.311,0.037,3.142,7.85,105.51494
2019-11-11T19:30:00,2458799.313,0.039,3.215,7.858,105.58731
2019-11-11T19:32:00,2458799.314,0.038,3.131,7.846,105.50695
2019-11-11T19:34:00,2458799.315,0.032,3.153,7.86,105.51397
2019-11-11T19:36:00,2458799.317,0.036,3.184,7.863,105.55176
2019-11-11T19:38:00,2458799.318,0.04,3.237,7.845,105.61001
2019-11-11T19:40:00,2458799.319,0.044,3.139,7.854,105.52783
2019-11-11T19:42:00,2458799.321,0.038,3.075,7.844,105.45487
2019-11-11T19:44:00,2458799.322,0.038,3.214,7.844,105.58414
2019-11-11T19:46:00,2458799.324,0.036,3.175,7.847,105.54339
2019-11-11T19:48:00,2458799.325,0.04,3.145,7.854,105.52445
2019-11-11T19:50:00,2458799.326,0.043,3.134,7.839,105.52094
2019-11-11T19:52:00,2458799.328,0.039,3.12,7.842,105.49896
2019-11-11T19:54:00,2458799.329,0.035,3.075,7.864,105.44815
2019-11-11T19:58:00,2458799.332,0.043,3.118,7.844,105.50606
