date_obs,co_lat,area
2015-07-20T09:43:24.70,2.72,5
2015-07-20T09:43:24.70,2.707,8
2015-07-20T09:43:24.70,2.711,11
2015-07-20T09:43:24.70,2.718,6
2015-07-20T09:43:24.70,2.717,5
2015-07-20T09:43:24.70,2.692,6
2015-07-20T09:43:24.70,2.715,6
2015-07-20T09:43:24.70,2.705,8
2015-07-20T09:43:24.70,2.685,10
2015-07-20T09:43:24.70,2.711,6
2015-07-20T09:43:24.70,2.712,10
2015-07-20T09:43:24.70,2.712,25
2015-07-20T09:43:24.70,2.708,8
2015-07-20T09:43:24.70,2.687,5
2015-07-20T09:43:24.70,2.693,5
2015-07-20T09:43:24.70,2.697,5
2015-07-20T09:43:24.70,2.701,5
2015-07-20T09:43:24.70,2.713,5
2015-07-20T09:43:24.70,2.709,5
2015-07-20T09:43:24.70,2.705,6
2015-07-20T09:43:24.70,2.697,6
2015-07-20T09:43:24.70,2.676,14
2015-07-20T09:43:24.70,2.711,7
2015-07-20T09:43:24.70,2.695,5
2015-07-20T09:43:24.70,2.706,9
2015-07-20T09:43:24.70,2.681,5
2015-07-20T09:43:24.70,2.708,19
2015-07-20T09:43:24.70,2.707,10
2015-07-20T09:43:24.70,2.672,14
2015-07-20T09:43:24.70,2.703,10
2015-07-20T09:43:24.70,2.705,6
2015-07-20T09:43:24.70,2.696,9
2015-07-20T09:43:24.70,2.687,7
2015-07-20T09:43:24.70,2.7,16
2015-07-20T09:43:24.70,2.704,21
2015-07-20T09:43:24.70,2.703,30
2015-07-20T09:43:24.70,2.685,16
2015-07-20T09:43:24.70,2.699,14
2015-07-20T09:43:24.70,2.672,13
2015-07-20T09:43:24.70,2.69,68
2015-07-20T09:43:24.70,2.667,17
2015-07-20T09:43:24.70,2.702,8
2015-07-20T09:43:24.70,2.704,5
2015-07-20T09:43:24.70,2.701,33
2015-07-20T09:43:24.70,2.675,5
2015-07-20T09:43:24.70,2.689,5
2015-07-20T09:43:24.70,2.691,6
2015-07-20T09:43:24.70,2.694,6
2015-07-20T09:43:24.70,2.696,6
2015-07-20T09:43:24.70,2.692,9
2015-07-20T09:43:24.70,2.686,8
2015-07-20T09:43:24.70,2.696,11
2015-07-20T09:43:24.70,2.662,15
2015-07-20T09:43:24.70,2.692,52
2015-07-20T09:43:24.70,2.689,7
2015-07-20T09:43:24.70,2.673,6
2015-07-20T09:43:24.70,2.683,14
2015-07-20T09:43:24.70,2.694,5
2015-07-20T09:43:24.70,2.686,7
2015-07-20T09:43:24.70,2.691,10
2015-07-20T09:43:24.70,2.688,20
2015-07-20T09:43:24.70,2.688,18
2015-07-20T09:43:24.70,2.655,6
2015-07-20T09:43:24.70,2.688,5
2015-07-20T09:43:24.70,2.69,5
2015-07-20T09:43:24.70,2.682,7
2015-07-20T09:43:24.70,2.689,10
2015-07-20T09:43:24.70,2.655,16
2015-07-20T09:43:24.70,2.661,5
2015-07-20T09:43:24.70,2.686,13
2015-07-20T09:43:24.70,2.657,6
2015-07-20T09:43:24.70,2.674,9
2015-07-20T09:43:24.70,2.676,5
2015-07-20T09:43:24.70,2.675,5
2015-07-20T09:43:24.70,2.672,7
2015-07-20T09:43:24.70,2.677,5
2015-07-20T09:43:24.70,2.681,6
2015-07-20T09:43:24.70,2.667,18
2015-07-20T09:43:24.70,2.671,11
2015-07-20T09:43:24.70,2.683,5
2015-07-20T09:43:24.70,2.676,18
2015-07-20T09:43:24.70,2.672,23
2015-07-20T09:43:24.70,2.664,9
2015-07-20T09:43:24.70,2.675,6
2015-07-20T09:43:24.70,2.678,6
2015-07-20T09:43:24.70,2.677,15
2015-07-20T09:43:24.70,2.652,7
2015-07-20T09:43:24.70,2.641,20
2015-07-20T09:43:24.70,2.678,6
2015-07-20T09:43:24.70,2.672,6
2015-07-20T09:43:24.70,2.664,6
2015-07-20T09:43:24.70,2.647,5
2015-07-20T09:43:24.70,2.65,5
2015-07-20T09:43:24.70,2.67,11
2015-07-20T09:43:24.70,2.666,8
2015-07-20T09:43:24.70,2.645,11
2015-07-20T09:43:24.70,2.651,22
2015-07-20T09:43:24.70,2.639,6
2015-07-20T09:43:24.70,2.665,14
2015-07-20T09:43:24.70,2.665,5
2015-07-20T09:43:24.70,2.65,6
2015-07-20T09:43:24.70,2.662,7
2015-07-20T09:43:24.70,2.667,6
2015-07-20T09:43:24.70,2.666,6
2015-07-20T09:43:24.70,2.663,11
2015-07-20T09:43:24.70,2.642,6
2015-07-20T09:43:24.70,2.669,5
2015-07-20T09:43:24.70,2.668,5
2015-07-20T09:43:24.70,2.651,27
2015-07-20T09:43:24.70,2.64,5
2015-07-20T09:43:24.70,2.652,5
2015-07-20T09:43:24.70,2.669,7
2015-07-20T09:43:24.70,2.665,7
2015-07-20T09:43:24.70,2.651,8
2015-07-20T09:43:24.70,2.666,19
2015-07-20T09:43:24.70,2.664,16
2015-07-20T09:43:24.70,2.662,5
2015-07-20T09:43:24.70,2.643,5
2015-07-20T09:43:24.70,2.645,10
2015-07-20T09:43:24.70,2.654,10
2015-07-20T09:43:24.70,2.643,7
2015-07-20T09:43:24.70,2.653,132
2015-07-20T09:43:24.70,2.651,20
2015-07-20T09:43:24.70,2.637,7
2015-07-20T09:43:24.70,2.636,6
2015-07-20T09:43:24.70,2.661,5
2015-07-20T09:43:24.70,2.66,13
2015-07-20T09:43:24.70,2.654,6
2015-07-20T09:43:24.70,2.654,5
2015-07-20T09:43:24.70,2.644,7
2015-07-20T09:43:24.70,2.633,6
2015-07-20T09:43:24.70,2.659,7
2015-07-20T09:43:24.70,2.651,13
2015-07-20T09:43:24.70,2.657,11
2015-07-20T09:43:24.70,2.658,7
2015-07-20T09:43:24.70,2.649,8
2015-07-20T09:43:24.70,2.63,9
2015-07-20T09:43:24.70,2.655,6
2015-07-20T09:43:24.70,2.622,7
2015-07-20T09:43:24.70,2.649,5
2015-07-20T09:43:24.70,2.655,9
2015-07-20T09:43:24.70,2.641,5
2015-07-20T09:43:24.70,2.625,5
2015-07-20T09:43:24.70,2.649,59
2015-07-20T09:43:24.70,2.645,6
2015-07-20T09:43:24.70,2.614,4
2015-07-20T09:43:24.70,2.648,5
2015-07-20T09:43:24.70,2.622,13
2015-07-20T09:43:24.70,2.65,12
2015-07-20T09:43:24.70,2.638,7
2015-07-20T09:43:24.70,2.642,5
2015-07-20T09:43:24.70,2.645,26
2015-07-20T09:43:24.70,2.647,10
2015-07-20T09:43:24.70,2.641,5
2015-07-20T09:43:24.70,2.643,6
2015-07-20T09:43:24.70,2.647,14
2015-07-20T09:43:24.70,2.648,8
2015-07-20T09:43:24.70,2.638,19
2015-07-20T09:43:24.70,2.643,33
2015-07-20T09:43:24.70,2.644,8
2015-07-20T09:43:24.70,2.646,8
2015-07-20T09:43:24.70,2.642,7
2015-07-20T09:43:24.70,2.607,6
2015-07-20T09:43:24.70,2.645,5
2015-07-20T09:43:24.70,2.611,6
2015-07-20T09:43:24.70,2.637,10
2015-07-20T09:43:24.70,2.64,5
2015-07-20T09:43:24.70,2.639,5
2015-07-20T09:43:24.70,2.604,4
2015-07-20T09:43:24.70,2.615,4
2015-07-20T09:43:24.70,2.62,4
2015-07-20T09:43:24.70,2.616,25
2015-07-20T09:43:24.70,2.612,19
2015-07-20T09:43:24.70,2.643,7
2015-07-20T09:43:24.70,2.642,6
2015-07-20T09:43:24.70,2.631,7
2015-07-20T09:43:24.70,2.618,6
2015-07-20T09:43:24.70,2.634,38
2015-07-20T09:43:24.70,2.639,6
2015-07-20T09:43:24.70,2.611,4
2015-07-20T09:43:24.70,2.631,19
2015-07-20T09:43:24.70,2.632,7
2015-07-20T09:43:24.70,2.639,6
2015-07-20T09:43:24.70,2.617,7
2015-07-20T09:43:24.70,2.61,4
2015-07-20T09:43:24.70,2.609,11
2015-07-20T09:43:24.70,2.638,7
2015-07-20T09:43:24.70,2.637,30
2015-07-20T09:43:24.70,2.636,19
2015-07-20T09:43:24.70,2.614,4
2015-07-20T09:43:24.70,2.623,6
2015-07-20T09:43:24.70,2.613,4
2015-07-20T09:43:24.70,2.604,8
2015-07-20T09:43:24.70,2.624,8
2015-07-20T09:43:24.70,2.634,41
2015-07-20T09:43:24.70,2.637,5
2015-07-20T09:43:24.70,2.603,4
2015-07-20T09:43:24.70,2.599,5
2015-07-20T09:43:24.70,2.599,6
2015-07-20T09:43:24.70,2.623,12
2015-07-20T09:43:24.70,2.593,5
2015-07-20T09:43:24.70,2.603,17
2015-07-20T09:43:24.70,2.628,7
2015-07-20T09:43:24.70,2.6,10
2015-07-20T09:43:24.70,2.616,18
2015-07-20T09:43:24.70,2.6,12
2015-07-20T09:43:24.70,2.624,6
2015-07-20T09:43:24.70,2.627,17
2015-07-20T09:43:24.70,2.602,11
2015-07-20T09:43:24.70,2.621,4
2015-07-20T09:43:24.70,2.627,20
2015-07-20T09:43:24.70,2.606,4
2015-07-20T09:43:24.70,2.596,4
2015-07-20T09:43:24.70,2.593,7
2015-07-20T09:43:24.70,2.606,7
2015-07-20T09:43:24.70,2.623,8
2015-07-20T09:43:24.70,2.609,6
2015-07-20T09:43:24.70,2.62,21
2015-07-20T09:43:24.70,2.63,6
2015-07-20T09:43:24.70,2.622,6
2015-07-20T09:43:24.70,2.608,8
2015-07-20T09:43:24.70,2.606,6
2015-07-20T09:43:24.70,2.602,14
2015-07-20T09:43:24.70,2.588,10
2015-07-20T09:43:24.70,2.588,4
2015-07-20T09:43:24.70,2.586,23
2015-07-20T09:43:24.70,2.627,6
2015-07-20T09:43:24.70,2.626,13
2015-07-20T09:43:24.70,2.611,5
2015-07-20T09:43:24.70,2.615,9
2015-07-20T09:43:24.70,2.617,5
2015-07-20T09:43:24.70,2.619,11
2015-07-20T09:43:24.70,2.619,5
2015-07-20T09:43:24.70,2.615,42
2015-07-20T09:43:24.70,2.611,5
2015-07-20T09:43:24.70,2.583,4
2015-07-20T09:43:24.70,2.622,9
2015-07-20T09:43:24.70,2.614,22
2015-07-20T09:43:24.70,2.624,5
2015-07-20T09:43:24.70,2.621,12
2015-07-20T09:43:24.70,2.597,26
2015-07-20T09:43:24.70,2.615,14
2015-07-20T09:43:24.70,2.614,21
2015-07-20T09:43:24.70,2.602,5
2015-07-20T09:43:24.70,2.611,4
2015-07-20T09:43:24.70,2.597,6
2015-07-20T09:43:24.70,2.592,52
2015-07-20T09:43:24.70,2.619,6
2015-07-20T09:43:24.70,2.62,4
2015-07-20T09:43:24.70,2.62,6
2015-07-20T09:43:24.70,2.619,52
2015-07-20T09:43:24.70,2.612,62
2015-07-20T09:43:24.70,2.599,4
2015-07-20T09:43:24.70,2.58,6
2015-07-20T09:43:24.70,2.615,5
2015-07-20T09:43:24.70,2.616,5
2015-07-20T09:43:24.70,2.617,4
2015-07-20T09:43:24.70,2.621,4
2015-07-20T09:43:24.70,2.618,24
2015-07-20T09:43:24.70,2.613,5
2015-07-20T09:43:24.70,2.608,10
2015-07-20T09:43:24.70,2.586,9
2015-07-20T09:43:24.70,2.587,5
2015-07-20T09:43:24.70,2.605,45
2015-07-20T09:43:24.70,2.608,9
2015-07-20T09:43:24.70,2.611,11
2015-07-20T09:43:24.70,2.619,4
2015-07-20T09:43:24.70,2.6,5
2015-07-20T09:43:24.70,2.599,4
2015-07-20T09:43:24.70,2.584,4
2015-07-20T09:43:24.70,2.603,8
2015-07-20T09:43:24.70,2.603,9
2015-07-20T09:43:24.70,2.603,12
2015-07-20T09:43:24.70,2.593,6
2015-07-20T09:43:24.70,2.605,15
2015-07-20T09:43:24.70,2.613,5
2015-07-20T09:43:24.70,2.616,7
2015-07-20T09:43:24.70,2.613,8
2015-07-20T09:43:24.70,2.603,5
2015-07-20T09:43:24.70,2.592,29
2015-07-20T09:43:24.70,2.611,4
2015-07-20T09:43:24.70,2.614,5
2015-07-20T09:43:24.70,2.591,5
2015-07-20T09:43:24.70,2.611,9
2015-07-20T09:43:24.70,2.58,4
2015-07-20T09:43:24.70,2.609,6
2015-07-20T09:43:24.70,2.587,21
2015-07-20T09:43:24.70,2.582,4
2015-07-20T09:43:24.70,2.575,5
2015-07-20T09:43:24.70,2.605,15
2015-07-20T09:43:24.70,2.607,4
2015-07-20T09:43:24.70,2.59,14
2015-07-20T09:43:24.70,2.6,22
2015-07-20T09:43:24.70,2.581,4
2015-07-20T09:43:24.70,2.579,4
2015-07-20T09:43:24.70,2.605,13
2015-07-20T09:43:24.70,2.587,4
2015-07-20T09:43:24.70,2.601,23
2015-07-20T09:43:24.70,2.607,5
2015-07-20T09:43:24.70,2.606,18
2015-07-20T09:43:24.70,2.606,9
2015-07-20T09:43:24.70,2.6,6
2015-07-20T09:43:24.70,2.607,7
2015-07-20T09:43:24.70,2.566,8
2015-07-20T09:43:24.70,2.572,7
2015-07-20T09:43:24.70,2.586,5
2015-07-20T09:43:24.70,2.604,4
2015-07-20T09:43:24.70,2.605,16
2015-07-20T09:43:24.70,2.606,4
2015-07-20T09:43:24.70,2.606,4
2015-07-20T09:43:24.70,2.589,5
2015-07-20T09:43:24.70,2.597,11
2015-07-20T09:43:24.70,2.594,7
2015-07-20T09:43:24.70,2.572,6
2015-07-20T09:43:24.70,2.604,6
2015-07-20T09:43:24.70,2.602,5
2015-07-20T09:43:24.70,2.598,5
2015-07-20T09:43:24.70,2.597,12
2015-07-20T09:43:24.70,2.595,8
2015-07-20T09:43:24.70,2.576,4
2015-07-20T09:43:24.70,2.582,6
2015-07-20T09:43:24.70,2.59,4
2015-07-20T09:43:24.70,2.583,5
2015-07-20T09:43:24.70,2.601,6
2015-07-20T09:43:24.70,2.602,4
2015-07-20T09:43:24.70,2.599,4
2015-07-20T09:43:24.70,2.582,4
2015-07-20T09:43:24.70,2.597,4
2015-07-20T09:43:24.70,2.592,12
2015-07-20T09:43:24.70,2.589,18
