loguHem,sin_colat
0.042749193,0.927250608
0.046240266,0.819951338
0.051459739,0.734793187
0.05729143,0.659854015
0.062044967,0.583211679
0.067251544,0.528710462
0.074928126,0.472506083
0.08121036,0.416301703
0.08803113,0.36350365
0.095443978,0.315815085
0.106395743,0.27323601
0.115385986,0.232360097
