date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small,rv_model
2021-08-21T00:00:00,2459447.5,-17.335,-14.005,0.03,3.33,2.044,0.0,2.044,9.179,0.03,0.0,1.81,0.234,1.81,0.234,0.0,7.676,76.017,127.345,0.048,-0.208,0.323,0.33,-0.001,100.414755
2021-08-22T00:00:00,2459448.5,-19.839,-16.485,0.055,3.354,2.137,0.001,2.137,9.28,0.05,0.005,1.859,0.278,1.859,0.277,0.0,7.689,76.932,131.91,-0.007,6.522,0.405,0.414,-0.0,100.49086
2021-08-23T00:00:00,2459449.5,-21.131,-17.522,0.049,3.609,2.303,0.002,2.305,9.497,0.032,0.017,1.96,0.345,1.96,0.343,0.0,7.711,80.213,138.995,-0.084,0.878,0.4,0.411,-0.002,100.7287915
2021-08-24T00:00:00,2459450.5,-19.327,-15.477,0.052,3.85,2.442,0.002,2.444,9.658,0.033,0.019,2.0,0.444,2.0,0.442,0.0,7.704,82.416,137.762,-0.164,-3.04,0.528,0.543,-0.004,100.97187699999999
2021-08-25T00:00:00,2459451.5,-19.765,-15.885,0.136,3.88,2.621,0.004,2.626,9.961,0.11,0.027,2.009,0.617,2.009,0.612,0.0,7.71,88.148,146.891,-0.042,9.745,0.708,0.728,-0.003,101.177836
2021-08-26T00:00:00,2459452.5,-20.437,-16.089,0.204,4.348,2.688,0.007,2.695,10.183,0.172,0.032,2.056,0.639,2.056,0.632,0.0,7.745,92.668,164.249,-0.073,-2.754,0.992,1.014,-0.005,101.780514
2021-08-27T00:00:00,2459453.5,-22.748,-17.688,0.212,5.06,2.839,0.01,2.848,10.571,0.189,0.023,2.023,0.825,2.023,0.816,0.0,7.744,101.141,176.279,-0.003,0.21,1.63,1.659,-0.003,102.496862
2021-08-28T00:00:00,2459454.5,-24.427,-19.439,0.12,4.989,2.778,0.012,2.79,10.635,0.118,0.003,1.867,0.923,1.867,0.912,0.0,7.736,105.096,179.357,0.043,4.269,1.824,1.855,-0.001,102.2338125
2021-08-29T00:00:00,2459455.5,-23.026,-18.341,0.002,4.685,2.726,0.009,2.735,10.506,0.024,-0.022,1.852,0.883,1.852,0.874,0.0,7.712,103.171,178.616,0.153,8.339,1.458,1.488,-0.001,101.6872145
