date,time,date_jd,ccfrvmod,dvrms
7/9/21,18:08:13,2459405.251,-0.6354,0.0161
7/8/21,19:32:05,2459404.309,-0.6747,2.00E-04
7/8/21,19:30:32,2459404.308,-0.6757,2.00E-04
7/8/21,19:28:53,2459404.307,-0.6766,2.00E-04
7/8/21,19:27:20,2459404.306,-0.6749,2.00E-04
7/8/21,19:25:46,2459404.305,-0.6764,2.00E-04
7/8/21,19:24:13,2459404.304,-0.6765,2.00E-04
7/8/21,19:22:39,2459404.303,-0.6756,2.00E-04
7/8/21,19:21:06,2459404.302,-0.6756,2.00E-04
7/8/21,19:19:33,2459404.3,-0.6766,2.00E-04
7/8/21,19:18:00,2459404.299,-0.6753,2.00E-04
7/8/21,19:16:26,2459404.298,-0.6766,2.00E-04
7/8/21,19:14:52,2459404.297,-0.6768,2.00E-04
7/8/21,19:13:18,2459404.296,-0.6752,2.00E-04
7/8/21,19:11:45,2459404.295,-0.6753,2.00E-04
7/8/21,19:10:12,2459404.294,-0.6779,2.00E-04
7/8/21,19:08:38,2459404.293,-0.6761,2.00E-04
7/8/21,19:07:05,2459404.292,-0.6751,2.00E-04
7/8/21,19:05:31,2459404.291,-0.6773,2.00E-04
7/8/21,19:03:58,2459404.29,-0.6762,2.00E-04
7/8/21,19:02:24,2459404.289,-0.6754,2.00E-04
7/8/21,19:00:50,2459404.288,-0.6766,2.00E-04
7/8/21,18:59:16,2459404.286,-0.676,2.00E-04
7/8/21,18:57:43,2459404.285,-0.6763,2.00E-04
7/8/21,18:51:45,2459404.281,-0.676,2.00E-04
7/8/21,18:50:11,2459404.28,-0.6756,2.00E-04
7/8/21,18:48:37,2459404.279,-0.6762,2.00E-04
7/8/21,18:47:03,2459404.278,-0.6766,2.00E-04
7/8/21,18:45:29,2459404.277,-0.6754,2.00E-04
7/8/21,18:43:56,2459404.276,-0.6761,2.00E-04
7/8/21,18:42:22,2459404.275,-0.6756,2.00E-04
7/8/21,18:40:49,2459404.274,-0.6749,2.00E-04
7/8/21,18:39:15,2459404.273,-0.6758,2.00E-04
7/8/21,18:37:41,2459404.271,-0.6754,2.00E-04
7/8/21,18:36:08,2459404.27,-0.6746,2.00E-04
7/8/21,18:34:35,2459404.269,-0.6763,2.00E-04
7/8/21,18:33:02,2459404.268,-0.6763,2.00E-04
7/8/21,18:31:29,2459404.267,-0.6747,2.00E-04
7/8/21,18:29:55,2459404.266,-0.6753,2.00E-04
7/8/21,18:28:22,2459404.265,-0.6763,2.00E-04
7/8/21,18:26:49,2459404.264,-0.6751,2.00E-04
7/8/21,18:25:15,2459404.263,-0.6748,2.00E-04
7/8/21,18:23:41,2459404.262,-0.6765,2.00E-04
7/8/21,18:22:07,2459404.261,-0.6754,2.00E-04
7/8/21,18:20:34,2459404.26,-0.675,2.00E-04
7/8/21,18:19:01,2459404.258,-0.6761,2.00E-04
7/8/21,18:17:27,2459404.257,-0.6758,2.00E-04
7/8/21,18:15:53,2459404.256,-0.6748,2.00E-04
7/8/21,18:14:20,2459404.255,-0.6758,2.00E-04
7/8/21,18:12:46,2459404.254,-0.6767,2.00E-04
7/8/21,18:11:12,2459404.253,-0.675,2.00E-04
7/8/21,18:09:40,2459404.252,-0.6745,2.00E-04
7/8/21,18:08:06,2459404.251,-0.6764,2.00E-04
7/7/21,19:32:29,2459403.309,-0.6761,2.00E-04
7/7/21,19:30:55,2459403.308,-0.6757,2.00E-04
7/7/21,19:29:22,2459403.307,-0.6758,2.00E-04
7/7/21,19:27:49,2459403.306,-0.7043,3.00E-04
7/7/21,19:26:16,2459403.305,-0.6759,2.00E-04
7/7/21,19:24:43,2459403.304,-0.6763,2.00E-04
7/7/21,19:23:10,2459403.303,-0.676,2.00E-04
7/7/21,19:21:36,2459403.302,-0.675,2.00E-04
7/7/21,19:20:03,2459403.301,-0.6762,2.00E-04
7/7/21,19:18:30,2459403.3,-0.7048,3.00E-04
7/7/21,19:16:57,2459403.299,-0.7026,4.00E-04
7/7/21,19:15:23,2459403.298,-0.6756,2.00E-04
7/7/21,19:13:50,2459403.297,-0.6757,2.00E-04
7/7/21,19:12:17,2459403.295,-0.6807,3.00E-04
7/7/21,19:10:44,2459403.294,-0.5349,0.0013
7/7/21,19:09:10,2459403.293,-0.6492,4.00E-04
7/7/21,19:07:37,2459403.292,-0.6667,3.00E-04
7/7/21,19:06:03,2459403.291,-0.6961,0.0022
7/7/21,19:04:30,2459403.29,-0.7925,0.0012
7/7/21,19:02:57,2459403.289,-0.6591,0.003
7/7/21,19:01:24,2459403.288,-0.6823,0.0038
7/7/21,18:59:51,2459403.287,-0.4976,5.00E-04
7/7/21,18:58:18,2459403.286,-0.685,0.001
7/7/21,18:54:57,2459403.283,-0.6857,3.00E-04
7/7/21,18:53:24,2459403.282,-0.6839,4.00E-04
7/7/21,18:51:50,2459403.281,-0.6432,4.00E-04
7/7/21,18:50:16,2459403.28,-0.588,6.00E-04
7/7/21,18:48:43,2459403.279,-0.7165,4.00E-04
7/7/21,18:47:10,2459403.278,-0.6743,2.00E-04
7/7/21,18:45:37,2459403.277,-0.6749,2.00E-04
7/7/21,18:44:04,2459403.276,-0.6766,2.00E-04
7/7/21,18:42:30,2459403.275,-0.6761,2.00E-04
7/7/21,18:40:56,2459403.274,-0.6735,2.00E-04
7/7/21,18:39:22,2459403.273,-0.6743,2.00E-04
7/7/21,18:37:49,2459403.272,-0.6767,2.00E-04
7/7/21,18:36:16,2459403.27,-0.6751,2.00E-04
7/7/21,18:34:42,2459403.269,-0.674,2.00E-04
