filename,obsdate,exptime,sunagl,seeing,ccfjdsum,ccfrvmod,dvrms
neidL2_20210621T192443.fits,6/21/21 19:24,54.800281,81.4402,0,2459387.304,-0.6403,2.00E-04
neidL2_20210621T192309.fits,6/21/21 19:23,54.798856,81.4012,0,2459387.303,-0.642,2.00E-04
neidL2_20210621T192136.fits,6/21/21 19:21,54.819252,81.3489,0,2459387.302,-0.6406,2.00E-04
neidL2_20210621T192002.fits,6/21/21 19:20,54.809544,81.2826,0,2459387.301,-0.641,2.00E-04
neidL2_20210620T192445.fits,6/20/21 19:24,54.787368,81.4464,0,2459386.304,-0.6399,2.00E-04
neidL2_20210620T192311.fits,6/20/21 19:23,54.75551,81.4095,0,2459386.303,-0.6391,2.00E-04
neidL2_20210620T192137.fits,6/20/21 19:21,54.81173,81.359,0,2459386.302,-0.6391,2.00E-04
neidL2_20210620T192003.fits,6/20/21 19:20,54.826208,81.295,0,2459386.301,-0.6388,2.00E-04
neidL2_20210619T192525.fits,6/19/21 19:25,54.815567,81.4553,0,2459385.305,-0.6401,3.00E-04
neidL2_20210619T192352.fits,6/19/21 19:23,54.777892,81.4265,0,2459385.303,-0.6419,3.00E-04
neidL2_20210619T192218.fits,6/19/21 19:22,54.855442,81.384,0,2459385.302,-0.6408,3.00E-04
neidL2_20210619T192045.fits,6/19/21 19:20,54.785434,81.3279,0,2459385.301,-0.64,3.00E-04
neidL2_20210619T191911.fits,6/19/21 19:19,54.833157,81.2585,0,2459385.3,-0.6407,3.00E-04
neidL2_20210618T192547.fits,6/18/21 19:25,54.829812,81.4499,0,2459384.305,-0.6387,3.00E-04
neidL2_20210618T192413.fits,6/18/21 19:24,54.810515,81.4262,0,2459384.304,-0.6398,3.00E-04
neidL2_20210618T192239.fits,6/18/21 19:22,54.822138,81.3885,0,2459384.303,-0.6411,3.00E-04
neidL2_20210618T192106.fits,6/18/21 19:21,54.811263,81.3377,0,2459384.302,-0.6391,3.00E-04
neidL2_20210618T191933.fits,6/18/21 19:19,54.818062,81.2734,0,2459384.3,-0.6388,3.00E-04
neidL2_20210617T192438.fits,6/17/21 19:24,54.804089,81.4178,0,2459383.304,-0.6412,3.00E-04
neidL2_20210617T192304.fits,6/17/21 19:23,54.824458,81.386,0,2459383.303,-0.6397,3.00E-04
neidL2_20210617T192131.fits,6/17/21 19:21,54.7738,81.3405,0,2459383.302,-0.6413,3.00E-04
neidL2_20210617T191957.fits,6/17/21 19:19,54.817,81.2816,0,2459383.301,-0.6405,3.00E-04
neidL2_20210616T192453.fits,6/16/21 19:24,54.732871,81.3985,0,2459382.304,-0.6467,2.00E-04
neidL2_20210616T192320.fits,6/16/21 19:23,54.823807,81.3708,0,2459382.303,-0.6495,2.00E-04
neidL2_20210616T192146.fits,6/16/21 19:21,54.746802,81.3296,0,2459382.302,-0.6561,2.00E-04
neidL2_20210616T192012.fits,6/16/21 19:20,54.810481,81.2745,0,2459382.301,-0.647,2.00E-04
neidL2_20210615T192532.fits,6/15/21 19:25,54.819556,81.3746,0,2459381.305,-0.6404,3.00E-04
neidL2_20210615T192359.fits,6/15/21 19:23,54.865019,81.3546,0,2459381.304,-0.6395,3.00E-04
neidL2_20210615T192225.fits,6/15/21 19:22,54.824266,81.3211,0,2459381.302,-0.6394,3.00E-04
neidL2_20210615T192052.fits,6/15/21 19:20,54.777927,81.2741,0,2459381.301,-0.6406,3.00E-04
neidL2_20210615T191918.fits,6/15/21 19:19,54.819319,81.2136,0,2459381.3,-0.639,3.00E-04
neidL2_20210614T192534.fits,6/14/21 19:25,54.70904,81.3363,0,2459380.305,-0.6411,2.00E-04
neidL2_20210614T192401.fits,6/14/21 19:24,54.837431,81.3188,0,2459380.304,-0.6393,2.00E-04
neidL2_20210614T192228.fits,6/14/21 19:22,54.754341,81.2877,0,2459380.303,-0.6417,2.00E-04
neidL2_20210614T192055.fits,6/14/21 19:20,54.837109,81.2432,0,2459380.301,-0.6416,2.00E-04
neidL2_20210614T191921.fits,6/14/21 19:19,54.768851,81.1853,0,2459380.3,-0.6399,2.00E-04
neidL2_20210613T192428.fits,6/13/21 19:24,54.761235,81.2808,0,2459379.304,-0.6396,3.00E-04
neidL2_20210613T192255.fits,6/13/21 19:22,54.854886,81.2555,0,2459379.303,-0.6381,3.00E-04
neidL2_20210613T192121.fits,6/13/21 19:21,54.772102,81.2168,0,2459379.302,-0.6414,3.00E-04
neidL2_20210613T191947.fits,6/13/21 19:19,54.847526,81.1644,0,2459379.301,-0.64,3.00E-04
neidL2_20210612T192446.fits,6/12/21 19:24,54.813624,81.2324,0,2459378.304,-0.6401,2.00E-04
neidL2_20210612T192313.fits,6/12/21 19:23,54.787864,81.2116,0,2459378.303,-0.6403,2.00E-04
neidL2_20210612T192139.fits,6/12/21 19:21,54.814174,81.1774,0,2459378.302,-0.6419,2.00E-04
neidL2_20210612T192006.fits,6/12/21 19:20,54.761896,81.1298,0,2459378.301,-0.6401,2.00E-04
neidL2_20210611T192547.fits,6/11/21 19:25,54.863266,81.1785,0,2459377.305,-0.6416,2.00E-04
neidL2_20210611T192414.fits,6/11/21 19:24,54.845009,81.1684,0,2459377.304,-0.6409,2.00E-04
neidL2_20210611T192241.fits,6/11/21 19:22,54.864222,81.145,0,2459377.303,-0.6396,2.00E-04
neidL2_20210611T192107.fits,6/11/21 19:21,54.818048,81.1082,0,2459377.302,-0.6415,2.00E-04
neidL2_20210611T191934.fits,6/11/21 19:19,54.832531,81.0582,0,2459377.301,-0.6418,2.00E-04
neidL2_20210610T192430.fits,6/10/21 19:24,54.769677,81.1054,0,2459376.304,-0.6397,2.00E-04
neidL2_20210610T192257.fits,6/10/21 19:22,54.814726,81.0862,0,2459376.303,-0.6406,2.00E-04
neidL2_20210610T192124.fits,6/10/21 19:21,54.788629,81.0538,0,2459376.302,-0.6419,2.00E-04
neidL2_20210610T191950.fits,6/10/21 19:19,54.824761,81.0083,0,2459376.301,-0.6413,2.00E-04
neidL2_20210609T192429.fits,6/9/21 19:24,54.794639,81.0325,0,2459375.304,-0.6415,2.00E-04
neidL2_20210609T192256.fits,6/9/21 19:22,54.748632,81.015,0,2459375.303,-0.6409,2.00E-04
neidL2_20210609T192122.fits,6/9/21 19:21,54.829347,80.9841,0,2459375.302,-0.6409,2.00E-04
neidL2_20210609T191948.fits,6/9/21 19:19,54.749921,80.9403,0,2459375.301,-0.6414,2.00E-04
neidL2_20210608T192451.fits,6/8/21 19:24,54.738214,80.9546,0,2459374.304,-0.6408,2.00E-04
neidL2_20210608T192318.fits,6/8/21 19:23,54.809833,80.942,0,2459374.303,-0.64,2.00E-04
neidL2_20210608T192146.fits,6/8/21 19:21,54.784906,80.9166,0,2459374.302,-0.6404,2.00E-04
neidL2_20210608T192013.fits,6/8/21 19:20,54.811284,80.8783,0,2459374.301,-0.6404,2.00E-04
neidL2_20210607T192545.fits,6/7/21 19:25,54.812436,80.8678,0,2459373.305,-0.6401,5.00E-04
neidL2_20210607T192411.fits,6/7/21 19:24,54.857337,80.8644,0,2459373.304,-0.6317,5.00E-04
neidL2_20210607T192238.fits,6/7/21 19:22,54.777817,80.8479,0,2459373.303,-0.6398,6.00E-04
neidL2_20210607T192105.fits,6/7/21 19:21,54.729381,80.8187,0,2459373.302,-0.6408,5.00E-04
